No,Nama,Harga,JML,Total,Code,Tgl
1,cristy ng,250,1,250,A,5/19/2025
2,cristy ng,275,1,275,A,5/19/2025
3,sdl,200,1,200,A,5/19/2025
1,sdl,175,1,175,A,5/20/2025
2,sdl,250,1,250,A,5/20/2025
3,sdl,150,1,150,A,5/20/2025
4,balenciaga,1500,1,1500,A,5/20/2025
1,sdl,300,1,300,A,5/21/2025
2,sdl,350,1,350,A,5/21/2025
3,sdl,150,1,150,A,5/21/2025
4,sdl,200,1,200,A,5/21/2025
5,spoon,10,1,10,A,5/21/2025
6,sdl,175,1,175,A,5/21/2025
1,spoon,10,1,10,A,5/23/2025
2,sdl,175,1,175,A,5/23/2025
3,sdl,300,6,300,A,5/23/2025
4,gucci,275,1,275,A,5/23/2025
5,sdl,300,1,300,A,5/23/2025
6,sdl,350,1,350,A,5/23/2025
7,sdl,150,1,150,A,5/23/2025
8,sdl,175,1,175,A,5/23/2025
9,sdl,150,1,150,A,5/23/2025
1,t pesta,150,1,150,A,5/24/2025
2,t pinggang,125,1,125,A,5/24/2025
3,sdl,200,1,200,A,5/24/2025
4,sdl,250,1,250,A,5/24/2025
5,sdl,350,1,350,A,5/24/2025
6,sdl,200,1,200,A,5/24/2025
7,coco,225,1,225,A,5/24/2025
8,sdl,200,1,200,A,5/24/2025
9,sdl,250,1,250,A,5/24/2025
1,sdl,200,1,200,A,5/25/2025
2,sdl,175,1,175,A,5/25/2025
3,coco,275,1,275,A,5/25/2025
4,sdl,200,2,200,A,5/25/2025
5,sdl,150,1,150,A,5/25/2025
6,sdl,225,3,225,A,5/25/2025
7,botega,225,1,225,A,5/25/2025
8,coco,300,1,300,A,5/25/2025
1,coco,200,1,200,A,5/26/2025
2,sdl,200,1,200,A,5/26/2025
3,D,100,1,100,A,5/26/2025
1,coco,200,1,200,A,5/27/2025
2,sdl,150,1,150,A,5/27/2025
3,coco,225,1,225,A,5/27/2025
4,coco,225,1,225,A,5/27/2025
5,coco,225,2,225,A,5/27/2025
6,coco,175,1,175,A,5/27/2025
7,coco,200,2,200,A,5/27/2025
8,cristyng,275,1,275,A,5/27/2025
9,spoon,10,4,10,A,5/27/2025
1,sdl,300,1,300,A,5/28/2025
2,sdl,200,1,200,A,5/28/2025
3,sdl,200,1,200,A,5/28/2025
4,coco,300,1,300,A,5/28/2025
5,sdl,300,1,300,A,5/28/2025
6,sdl,175,1,175,A,5/28/2025
7,coach,325,1,325,A,5/28/2025
8,sdl,300,1,300,A,5/28/2025
9,sdl,175,1,175,A,5/28/2025
